SMILES;SLC6A19_score;SLC6A20_score;source
C[C@@H](C[N+](C)(C)C)OC(N)=O;-7.49807;-4.53357;beide
C[C@@H](Cc1ccccc1)[NH2+]CCC#N;-5.43977;-5.83562;beide
C[C@@H](Cc1ccccc1)[NH2+]CCCCl;-5.9452;-4.89371;beide
C[C@@H](I)[C@@H]1OC[C@@H](CO)O1;-6.13204;-5.653;beide
C[C@@H](I)[C@@H]1OC[C@H](CO)O1;-5.68715;-5.75795;beide
C[C@@H](I)[C@H]1OC[C@@H](CO)O1;-6.05561;-5.94517;beide
C[C@@H](I)[C@H]1OC[C@H](CO)O1;-5.58767;-5.81045;beide
C[C@@H](N)[C@@H](O)c1ccccc1;-5.19874;-4.38674;beide
C[C@@H](N)[C@H](O)c1ccccc1;-6.19005;-4.47902;beide
C[C@@H](NN)c1ccccc1;-6.14634;-6.20577;beide
C[C@@H](N[NH3+])c1ccccc1;-7.40688;-6.38367;beide
C[C@@H](O)C(=O)[O-];-4.45661;-5.3454;beide
C[C@@H](O)CO;-4.26448;-4.26106;beide
C[C@@H](S)C(=O)NCC(=O)[O-];-5.68207;-3.46273;beide
C[C@@H]([NH2+]N)c1ccccc1;-7.58488;-7.52423;beide
C[C@@H]([NH3+])C12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3;-7.36464;-6.46642;beide
C[C@@H]([NH3+])Cc1ccc(O)cc1;-8.37958;-7.33386;beide
C[C@@H]([NH3+])Cc1ccccc1;-7.75069;-7.60503;beide
C[C@@H]([NH3+])[C@@H](O)c1ccccc1;-8.5123;-8.20569;beide
C[C@@H]([NH3+])[C@H](O)c1ccccc1;-8.43892;-8.51318;beide
C[C@@H]([S-])C(=O)NCC(=O)[O-];-2.47268;-1.99524;beide
C[C@@H]1NC(=O)[C@H](CC(=O)[O-])NC1=O;-7.66711;-5.5387;beide
C[C@@H]1NCCO[C@@H]1c1ccccc1;-2.77615;-2.07099;beide
C[C@@H]1O[C@@H]1P(=O)([O-])O;-3.98538;-4.73524;beide
C[C@@H]1O[C@@H]1P(=O)([O-])[O-];-3.91595;-4.5285;beide
C[C@@H]1[NH2+]CCO[C@@H]1c1ccccc1;-6.96638;-5.05971;beide
C[C@@](O)(P(=O)([O-])[O-])P(=O)([O-])O;-2.65633;-5.49662;beide
C[C@@]([NH3+])(Cc1ccc(O)cc1)C(=O)[O-];-6.47709;-5.09348;beide
C[C@@]12C(=O)OC(=O)[C@]1(C)[C@H]1CC[C@@H]2O1;-5.13859;-6.29573;beide
C[C@H](COc1ccccc1)NN;-4.89739;-5.4534;beide
C[C@H](COc1ccccc1)N[NH3+];-4.87485;-5.84959;beide
C[C@H](COc1ccccc1)[NH2+]N;-3.72337;-3.24348;beide
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)[O-];-5.69424;0.30342;beide
C[C@H](C[N+](C)(C)C)OC(N)=O;-6.22673;-6.12626;beide
C[C@H](Cc1ccccc1)NCCC#N;-4.90642;-3.58514;beide
C[C@H](Cc1ccccc1)[NH2+]CCC#N;-6.17796;-6.0295;beide
C[C@H](Cc1ccccc1)[NH2+]CCCCl;-5.33033;-4.99735;beide
C[C@H](I)[C@@H]1OC[C@@H](CO)O1;-6.08122;-5.7827;beide
C[C@H](I)[C@@H]1OC[C@H](CO)O1;-5.56463;-5.15848;beide
C[C@H](I)[C@H]1OC[C@@H](CO)O1;-5.99616;-5.80063;beide
C[C@H](I)[C@H]1OC[C@H](CO)O1;-5.71294;-5.90118;beide
C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)[O-];-4.85064;-2.16948;beide
C[C@H](N)[C@@H](O)c1ccccc1;-5.75194;-3.99213;beide
C[C@H](N)[C@H](O)c1ccc(O)c(O)c1;-6.21086;-3.92754;beide
C[C@H](N)[C@H](O)c1cccc(O)c1;-4.65742;-3.58049;beide
C[C@H](N)[C@H](O)c1ccccc1;-5.57219;-4.40345;beide
C[C@H](NN)c1ccccc1;-5.95589;-5.91175;beide
C[C@H](N[NH3+])c1ccccc1;-7.48448;-6.11587;beide
C[C@H](O)C(=O)[O-];-4.7591;-5.59163;beide
C[C@H](O)CO;-4.24312;-3.97046;beide
C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C=O;-5.7486;-5.96523;beide
C[C@H](S)C(=O)NCC(=O)[O-];-5.45771;-4.82051;beide
C[C@H]([NH2+]N)c1ccccc1;-7.71869;-7.13813;beide
C[C@H]([NH3+])C(=O)N[C@@H](CCC(N)=O)C(=O)[O-];-7.16319;-5.0367;beide
C[C@H]([NH3+])C(=O)[O-];-4.14392;-3.90363;beide
C[C@H]([NH3+])C12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3;-6.95454;-6.96695;beide
C[C@H]([NH3+])Cc1ccc(O)cc1;-8.09565;-6.86994;beide
C[C@H]([NH3+])Cc1ccccc1;-7.59047;-6.67147;beide
C[C@H]([NH3+])[C@@H](O)c1ccccc1;-8.59963;-8.06281;beide
C[C@H]([NH3+])[C@H](O)c1ccc(O)c(O)c1;-8.40893;-7.04755;beide
C[C@H]([NH3+])[C@H](O)c1cccc(O)c1;-8.32223;-6.82654;beide
C[C@H]([NH3+])[C@H](O)c1ccccc1;-8.34103;-7.84408;beide
C[C@H]([S-])C(=O)NCC(=O)[O-];-2.09712;-2.39461;beide
C[C@H]1C[NH2+]CCc2ccc(Cl)cc21;-8.11085;-5.42211;beide
C[C@H]1NCCO[C@H]1c1ccccc1;-2.73079;-3.0947;beide
C[C@H]1O[C@@H](C)O[C@@H](C)O1;-4.42175;-6.01113;beide
C[C@H]1O[C@@]2(CS1)C[N@H+]1CC[C@@H]2CC1;-8.08853;-4.58786;beide
C[C@H]1O[C@]2(CS1)C[N@H+]1CC[C@@H]2CC1;-7.51625;-4.86747;beide
C[C@H]1[NH2+]CCO[C@H]1c1ccccc1;-7.4765;-5.92462;beide
C[C@](O)(P(=O)([O-])[O-])P(=O)([O-])O;-3.33672;-5.47532;beide
C[C@]([NH3+])(Cc1ccc(O)cc1)C(=O)[O-];-5.94917;-4.03292;beide
C[N+](C)(C)CC(=O)[O-];-6.41442;-5.37629;beide
C[N+](C)(C)CCO;-6.32335;-5.42378;beide
C[N+](C)(C)CCOC(N)=O;-6.89963;-5.01225;beide
C[N+](C)(C)CCOCF;-6.0541;-4.11353;beide
C[N+](C)(C)C[C@@H](O)CC(=O)[O-];-7.48568;-5.45089;beide
C[N+](C)(C)C[C@H](O)CC(=O)[O-];-6.98861;-3.92507;beide
C[N+](C)(CF)CCO;-6.17473;-5.35156;beide
C[N@@H+]1CCC[C@H]1c1cccnc1;-7.4438;-5.28409;beide
C[N@H+]1CCC[C@H]1c1cccnc1;-7.41827;-4.72006;beide
C[NH+](CCCl)CCCl;-4.78272;-3.16482;beide
C[NH2+]C(C)(C)Cc1ccccc1;-7.63395;-4.17137;beide
C[NH2+]C[C@@H]1OCCc2ccsc21;-6.01599;-6.95493;beide
C[NH2+]C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO;-6.45578;-6.38645;beide
C[NH2+]C[C@H](O)c1ccc(O)c(O)c1;-7.16998;-6.65975;beide
C[NH2+]C[C@H](O)c1cccc(O)c1;-8.03031;-6.85298;beide
C[NH2+][C@@H](C)CC1CCCCC1;-6.55253;-6.30146;beide
C[NH2+][C@@H](C)Cc1ccccc1;-7.06642;-4.62445;beide
C[NH2+][C@@H](C)[C@@H](O)c1ccccc1;-7.76038;-7.72777;beide
C[NH2+][C@@H](C)[C@H](O)c1ccccc1;-6.22152;-6.31692;beide
C[NH2+][C@@H]1Cc2cccc3[nH]c(=O)n(c23)C1;-7.36143;-6.04783;beide
C[NH2+][C@H](C)CC1CCCCC1;-6.46075;-5.85421;beide
C[S@@](=O)CCCCN=C=S;-4.87973;-4.047;beide
C[S@](=O)CCCCN=C=S;-4.76185;-5.46125;beide
C[n+]1ccccc1/C=N/O;-7.12416;-5.78315;beide
C[n+]1ccccc1/C=N/[O-];-5.69189;-4.76598;beide
C[n+]1ccccc1/C=N\O;-6.86957;-5.17145;beide
C[n+]1ccccc1/C=N\[O-];-5.51978;-5.18632;beide
Cc1[nH+]cc(CO)c(C=O)c1[O-];-6.13756;-7.12964;beide
Cc1[nH+]cc(CO)c(CO)c1O;-4.91783;-4.5077;beide
Cc1[nH+]cc(CO)c(CO)c1[O-];-5.4113;-6.9806;beide
Cc1[nH+]cc(COP(=O)([O-])O)c(C=O)c1[O-];-5.18799;-2.47702;beide
Cc1[nH+]cc(COP(=O)([O-])[O-])c(C=O)c1[O-];-6.54527;-3.04444;beide
Cc1c(O)c(=O)ccn1C;-6.20574;-7.12266;beide
Cc1cc(Br)c(O)c2ncccc12;-5.71536;-4.65308;beide
Cc1cc(Br)c([O-])c2ncccc12;-4.24301;-3.48102;beide
Cc1cc(C)cc(OC[C@H]2CNC(=O)O2)c1;-3.25112;-3.74488;beide
Cc1ccc(S(N)(=O)=O)cc1;-7.0185;-4.58654;beide
Cc1cccc(C)c1NC(=O)[C@@H](C)N;-4.08704;1.23413;beide
